"question","answer"
"what is the capital of india","The capital of India is New Delhi."
"who is the PM of india","The current Prime Minister of India is Narendra Modi."
"what is the currency of india","The currency of India is the Indian Rupee."
"what is the national animal of india","The national animal of India is the Bengal Tiger."
"what is the national flower of india","The national flower of India is the Lotus."
"what is the national bird of india","The national bird of India is the Indian Peacock."
"what is the taj mahal","The Taj Mahal is an ivory-white marble mausoleum on the south bank of the Yamuna river in the Indian city of Agra."
"who was mahatma gandhi","Mahatma Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist, who employed nonviolent resistance to lead the successful campaign for India's independence from British Rule."
"what is diwali","Diwali is the Hindu festival of lights, which is celebrated every autumn in the northern hemisphere."
"what is holi","Holi is a popular ancient Hindu festival, also known as the 'Festival of Love', the 'Festival of Colours', and the 'Festival of Spring'."
"what is the ganges river","The Ganges is a trans-boundary river of Asia which flows through India and Bangladesh. The river is sacred to Hindus and is a lifeline to millions of Indians who live along its course."
"what is bollywood","Bollywood is the Hindi-language film industry based in Mumbai, India."
"what is the population of india","The population of India is over 1.4 billion people, making it the world's most populous country."
"what is the largest city in india","The largest city in India is Mumbai."
"what are the official languages of india","The official languages of the Government of India are Hindi and English."
"what is an api","An API, or Application Programming Interface, is a set of rules that allows different software applications to communicate with each other."
"what is a rest api","A REST API is an API that follows the Representational State Transfer style, using HTTP methods like GET, POST, PUT, and DELETE to access and modify data."
"what is http","HTTP, or HyperText Transfer Protocol, is the protocol used by web browsers and servers to communicate and transfer web pages over the internet."
"what is https","HTTPS is the secure version of HTTP that uses encryption (SSL or TLS) to protect data transferred between the browser and server."
"what is frontend development","Frontend development focuses on the part of a website or web app that users see and interact with, using technologies like HTML, CSS, and JavaScript."
"what is backend development","Backend development handles the server side of an application, including databases, APIs, and business logic, using languages like Node.js, Python, Java, or PHP."
"what is full stack development","Full stack development means working on both the frontend and backend parts of an application."
"what is a database","A database is an organized collection of data that can be easily accessed, managed, and updated."
"what is sql","SQL, or Structured Query Language, is used to manage and query data in relational databases like MySQL, PostgreSQL, and SQL Server."
"what is nosql","NoSQL databases store data in flexible formats like documents, key-value pairs, or graphs, and are useful for handling large-scale or unstructured data."
"what is an api key","An API key is a unique token used to authenticate a user or application when accessing an API."
"what is json","JSON, or JavaScript Object Notation, is a lightweight data format used to store and exchange data, especially between a server and web application."
"what is html","HTML, or HyperText Markup Language, is the standard language used to create the structure of web pages."
"what is css","CSS, or Cascading Style Sheets, is used to style and design the layout, colors, and fonts of web pages."
"what is javascript","JavaScript is a programming language that runs in the browser and allows web pages to be interactive and dynamic."
"what is python","Python is a high-level, general-purpose programming language known for its simplicity and readability, used in web development, data science, AI, and automation."
"what is java","Java is an object-oriented programming language widely used for building enterprise applications, Android apps, and backend systems."
"what is an ide","An IDE, or Integrated Development Environment, is software that provides tools like a code editor, debugger, and compiler to help developers write and test code."
"what is version control","Version control is a system that tracks changes to files over time, so you can revert to previous versions and collaborate with others."
"what is git","Git is a distributed version control system used to track changes in source code and collaborate on projects."
"what is github","GitHub is an online platform that hosts Git repositories and provides."
"what is yoga","Yoga is an ancient physical, mental, and spiritual practice that originated in India."
"what is ayurveda","Ayurveda is a traditional Indian system of medicine focused on natural healing and balance of body, mind, and spirit."
"what is the red fort","The Red Fort is a historic fort in Delhi that served as the main residence of Mughal emperors."
"what is qutub minar","Qutub Minar is a UNESCO World Heritage Site in Delhi and the tallest brick minaret in the world."
"what is the golden temple","The Golden Temple is a sacred Sikh Gurudwara located in Amritsar, Punjab."
"what is the himalayas","The Himalayas are the world’s highest mountain range, home to Mount Everest."
"what is mount everest","Mount Everest is the tallest mountain in the world, located in the Himalayas."
"what is the indian ocean","The Indian Ocean is the third largest ocean and borders India to the south."
"what is the national song of india","The national song of India is Vande Mataram."
"what is the national anthem of india","The national anthem of India is Jana Gana Mana."
"who wrote india's national anthem","India's national anthem, Jana Gana Mana, was written by Rabindranath Tagore."
"who wrote the national song vande mataram","Vande Mataram was written by Bankim Chandra Chatterjee."
"what is cricket","Cricket is a popular bat-and-ball sport widely played in India, England, Australia, and many countries."
"who is sachin tendulkar","Sachin Tendulkar is a former Indian cricketer widely regarded as one of the greatest batsmen in the history of cricket."
"who is virat kohli","Virat Kohli is an Indian international cricketer and one of the modern era’s leading batsmen."
"who is ms dhoni","MS Dhoni is a former Indian captain known for winning the ICC T20 World Cup 2007 and ICC World Cup 2011."
"what is the world cup","The Cricket World Cup is an international championship of one-day cricket organized by the ICC."
"what is the solar system","The solar system consists of the Sun and the planets that orbit around it."
"what is the milky way","The Milky Way is the galaxy that contains our solar system."
"what is a galaxy","A galaxy is a massive system of stars, dust, and gas held together by gravity."
"what is the moon","The Moon is Earth's only natural satellite."
"what is the sun","The Sun is a giant ball of hot gases and the center of our solar system."
"what is rain","Rain is water droplets that fall from clouds when they become too heavy."
"what is weather","Weather describes day-to-day atmospheric conditions like temperature, rainfall, and humidity."
"what is climate","Climate is the long-term average of weather patterns in a region."
"what is global warming","Global warming is the increase in Earth's average temperature caused mainly by pollution and greenhouse gases."
"what is pollution","Pollution is the introduction of harmful substances into air, water, or soil."
"what is the internet","The internet is a global network that connects millions of computers for communication and information sharing."
"what is a smartphone","A smartphone is a mobile phone with advanced computing ability and internet access."
"who is elon musk","Elon Musk is a businessman and CEO of SpaceX and Tesla."
"what is spacex","SpaceX is a space exploration company founded by Elon Musk."
"what is google","Google is a technology company best known for its search engine."
"what is youtube","YouTube is a video-sharing platform owned by Google."
"what is whatsapp","WhatsApp is an instant messaging app used worldwide for texting, voice calls, and video calls."
"what is instagram","Instagram is a social media platform for sharing photos, videos, and stories."
"what is facebook","Facebook is a social networking platform used to connect with friends and family."
"what is democracy","Democracy is a system of government where citizens elect their leaders."
"what is constitution","A constitution is a set of fundamental laws that define how a country is governed."
"when did india get independence","India gained independence on 15 August 1947."
"who was jawaharlal nehru","Jawaharlal Nehru was the first Prime Minister of India."
"what is the parliament of india","The Parliament of India is the supreme legislative body consisting of Lok Sabha and Rajya Sabha."
"what is the lok sabha","The Lok Sabha is the lower house of India's Parliament."
"what is the rajya sabha","The Rajya Sabha is the upper house of India's Parliament."
"what is pan card","A PAN card is a Permanent Account Number used for financial and tax-related transactions in India."
"what is aadhar card","Aadhar is a unique 12-digit identification number issued by the Indian government."
"what is upi","UPI is the Unified Payments Interface used to transfer money instantly using mobile phones."
"what is atm","An ATM is an Automated Teller Machine used to withdraw or deposit cash."
"what is debit card","A debit card lets you withdraw money directly from your bank account."
"what is credit card","A credit card allows you to borrow money from the bank to make purchases."
"what is emi","EMI stands for Equated Monthly Installment used to repay loans."
"what is loan","A loan is borrowed money that must be paid back with interest."
"what is interest rate","An interest rate is the percentage charged for borrowing money."
"what is savings account","A savings account is a bank account used for storing money and earning interest."
"what is fixed deposit","A fixed deposit is a financial instrument where money is locked for a fixed period with guaranteed interest."
"what is mutual fund","A mutual fund pools money from many investors to invest in stocks and bonds."
"what is inflation","Inflation is the increase in prices of goods and services over time."
"what is income tax","Income tax is the tax paid on your income to the government."
"what is gst","GST is Goods and Services Tax applied on the sale of goods and services in India."
"what is vpn","A VPN is a Virtual Private Network that protects your online privacy by hiding your IP address."
"what is wifi","WiFi is a wireless technology that allows devices to access the internet."
"what is hotspot","A hotspot is a device or phone feature that provides internet to other devices through WiFi."
"what is bluetooth","Bluetooth is a wireless technology for sharing files and connecting devices."
"what is virus","A computer virus is malware that can damage files or steal information."
"what is covid 19","COVID-19 is a viral respiratory disease caused by the coronavirus SARS-CoV-2."
"what is fever","Fever is a temporary increase in body temperature, often due to infection."
"what is headache","A headache is pain in the head caused by stress, dehydration, or illness."
"what is dehydration","Dehydration happens when your body loses more water than it takes in."
"what is bp","BP means blood pressure, measuring the force of blood against artery walls."
"what is heart rate","Heart rate is the number of times your heart beats per minute."
"what is calories","Calories measure the energy you get from food."
"what is protein","Protein is a nutrient important for muscle growth and repair."
"what is vitamin c","Vitamin C is a nutrient that boosts immunity and improves skin health."
"what is carbs","Carbs are carbohydrates, the body’s main source of energy."
"what is fat","Fats are nutrients that give energy and support cell growth."
"what is metabolism","Metabolism is the process by which your body converts food into energy."
"what is yoga good for","Yoga improves flexibility, reduces stress, and enhances mental focus."
"what is meditation","Meditation is a practice that improves focus, calmness, and emotional health."
"what is stress","Stress is the body’s reaction to pressure or difficult situations."
"what is anxiety","Anxiety is a feeling of worry or fear that can be mild or severe."
"what is depression","Depression is a mental health condition involving sadness and loss of interest."
"what is therapy","Therapy is professional treatment to help with mental or emotional issues."
"what is exercise","Exercise is physical activity that improves health and fitness."
"what is diet","A diet is the food a person usually eats to stay healthy."
"what is sleep cycle","A sleep cycle is a series of stages your body goes through while sleeping."
"what is weather","Weather is the day-to-day condition of temperature, rainfall, and wind."
"what is climate","Climate is long-term weather patterns in a region."
"what is humidity","Humidity is the amount of moisture present in the air."
"what is rainfall","Rainfall is the amount of rain that falls in a place."
"what is earthquake","An earthquake is the shaking of the ground caused by movement of tectonic plates."
"what is tsunami","A tsunami is a large sea wave caused by underwater earthquakes."
"what is cyclone","A cyclone is a powerful rotating storm system with strong winds."
"what is traffic jam","A traffic jam is slow or stopped traffic due to heavy congestion."
"what is petrol","Petrol is fuel used in vehicles for combustion engines."
"what is diesel","Diesel is fuel used in heavy vehicles and generators."
"what is electric vehicle","An electric vehicle runs on electricity instead of petrol or diesel."
"what is metro","A metro is an underground or elevated rapid transit railway system."
"what is passport","A passport is an official document used to travel to other countries."
"what is visa","A visa is permission granted by a country allowing entry for travel or work."
"what is airport","An airport is a facility where airplanes take off and land."
"what is boarding pass","A boarding pass is a ticket that grants access to an airplane."
"what is wifi calling","WiFi calling lets you make calls using a WiFi network instead of mobile signal."
"what is screenshot","A screenshot is an image captured of what is visible on your screen."
"what is screen recording","Screen recording captures video of your screen activity."
"what is cloud storage","Cloud storage saves your files online instead of on your device."
"what is google drive","Google Drive is cloud storage provided by Google."
"what is icloud","iCloud is cloud storage and backup service for Apple devices."
"what is screenshot in windows","Press Windows + PrintScreen to take a screenshot on Windows."
"what is recycle bin","Recycle Bin is where deleted files are stored temporarily in Windows."
"what is file compression","Compression reduces the size of a file for easier storage or sharing."
"what is pdf","PDF is a Portable Document Format used for documents."
"what is zip file","A ZIP file is a compressed folder that contains multiple files."
"what is online shopping","Online shopping means buying products through websites or apps."
"what is shipping","Shipping is the process of delivering items to customers."
"what is return policy","A return policy allows customers to return items within a certain period."
"what is addition","Addition means combining two or more numbers to get a total."
"what is subtraction","Subtraction means taking one number away from another."
"what is multiplication","Multiplication is repeated addition of a number."
"what is division","Division means splitting a number into equal parts."
"what is a fraction","A fraction represents a part of a whole, written as numerator over denominator."
"what is a decimal","A decimal is a number with a point separating whole and fractional parts."
"what is percentage","Percentage represents a number out of 100."
"how to find percentage","Percentage = (value / total) × 100."
"what is average","Average is the sum of numbers divided by how many numbers there are."
"what is mean","Mean is another word for average."
"what is median","Median is the middle value when numbers are arranged in order."
"what is mode","Mode is the number that appears most often."
"what is square root","Square root is a number which multiplied by itself gives the original number."
"what is cube root","Cube root is a number which multiplied by itself three times gives the original number."
"what is a prime number","A prime number is a number greater than 1 that has only two factors: 1 and itself."
"what is a composite number","A composite number has more than two factors."
"what is an even number","An even number is divisible by 2."
"what is an odd number","An odd number is not divisible by 2."
"what is lcm","LCM is Least Common Multiple — the smallest multiple common to two numbers."
"what is hcf","HCF is Highest Common Factor — the largest number that divides both numbers."
"what is perimeter","Perimeter is the total length around a shape."
"what is area","Area is the space inside a 2D shape."
"what is volume","Volume is the amount of space inside a 3D object."
"what is algebra","Algebra is a branch of math dealing with variables, symbols, and equations."
"what is geometry","Geometry is the study of shapes, sizes, and properties of space."
"what is trigonometry","Trigonometry is the study of relationships between angles and sides of triangles."
"what is a ratio","A ratio compares two quantities."
"what is a proportion","Proportion shows that two ratios are equal."
"what is simple interest","Simple Interest = (Principal × Rate × Time) / 100."
"what is compound interest","Compound interest is interest calculated on both principal and previously earned interest."
"what is probability","Probability measures how likely an event is to happen."
"what is a polynomial","A polynomial is a math expression with variables and coefficients."
"what is linear equation","A linear equation is an equation whose graph is a straight line."
"what is quadratic equation","A quadratic equation is an equation of the form ax² + bx + c = 0."
"what is pi","Pi is a mathematical constant approximately equal to 3.14."
"what is circumference","Circumference is the distance around a circle, equal to 2 × pi × radius."
"what is radius","Radius is the distance from the center of a circle to its edge."
"what is diameter","Diameter is twice the radius and passes through the center of the circle."
"what is logarithm","A logarithm tells you how many times a number is multiplied to reach another number."
"what is a function","A function assigns exactly one output for each input."
"what is a variable","A variable is a letter that represents a number."
"what is a constant","A constant is a fixed number."
"what is coordinate geometry","Coordinate geometry uses coordinates to study geometric figures on a graph."
"what is slope","Slope measures how steep a line is."
"what is linear graph","A linear graph is a straight-line graph."
"what is a triangle","A triangle is a polygon with three sides and three angles."
"what is a square","A square is a shape with four equal sides and four right angles."
"what is a rectangle","A rectangle has four sides and four right angles, opposite sides are equal."
"what is a circle","A circle is a round shape with all points equidistant from the center."
"what is the formula for area of a triangle","Area of a triangle = 1/2 × base × height."
"what is the formula for area of a circle","Area of a circle = π × r²."
"what is the formula for circumference of a circle","Circumference = 2 × π × r."
"what is the formula for area of a rectangle","Area of a rectangle = length × width."
"what is the formula for perimeter of a rectangle","Perimeter = 2 × (length + width)."
"what is the formula for area of a square","Area of a square = side × side."
"what is the formula for perimeter of a square","Perimeter = 4 × side."
"what is the formula for volume of a cube","Volume of cube = side³."
"what is the formula for volume of a cuboid","Volume of a cuboid = length × width × height."
"what is the pythagoras theorem","Pythagoras theorem: a² + b² = c²."
"what is the distance formula","Distance formula = √((x2-x1)² + (y2-y1)²)."
"what is the midpoint formula","Midpoint = ((x1+x2)/2, (y1+y2)/2)."
"what is the slope formula","Slope = (y2 - y1) / (x2 - x1)."
"what is the quadratic formula","Quadratic formula = (-b ± √(b² - 4ac)) / 2a."
"what is the simple interest formula","Simple Interest = (P × R × T) / 100."
"what is the compound interest formula","Amount = P(1 + R/100)^T."
"what is the formula for profit","Profit = Selling Price - Cost Price."
"what is the formula for loss","Loss = Cost Price - Selling Price."
"what is the percentage formula","Percentage = (value / total) × 100."
"what is the probability formula","Probability = favorable outcomes / total outcomes."
"what is the formula for speed","Speed = Distance / Time."
"what is the formula for time","Time = Distance / Speed."
"what is the formula for distance","Distance = Speed × Time."
"what is the formula for work","Work = Rate × Time."
"what is the formula for average","Average = Total sum / Number of items."
"what is algebra","Algebra is the study of mathematical symbols and rules for manipulating them."
"what is geometry","Geometry is the study of shapes, sizes, and properties of space."
"what is mensuration","Mensuration deals with measurement of shapes: area, perimeter, and volume."
